time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
7.333,0.0001553016627440229,0.49726,0.2622,0.07483,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.4,0.0001553016627440229,0.49726,0.2622,0.07483,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.467,3.316166839795187e-05,0.49726,0.2622,0.07483,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.533,3.316166839795187e-05,0.49726,0.2622,0.07483,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.6,8.865000381774735e-06,0.49726,0.2622,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.667,8.865000381774735e-06,0.49726,0.2622,0.07483,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.733,8.865000381774735e-06,0.49726,0.2622,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.8,1.3133333141013281e-06,0.49725,0.2622,0.07483,-0.06063,-0.12786,-0.05016,0.99714,-0.03184,-0.06308,-0.02695
7.867,1.3133333141013281e-06,0.49726,0.2622,0.07483,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.933,1.3133333141013281e-06,0.49726,0.2622,0.07483,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
8.0,6.566666570506641e-07,0.49726,0.2622,0.07483,-0.06063,-0.12786,-0.05016,0.99714,-0.03184,-0.06308,-0.02695
8.067,6.566666570506641e-07,0.49725,0.2622,0.07483,-0.06063,-0.12786,-0.05016,0.99714,-0.03184,-0.06308,-0.02695
8.133,3.2833332852533204e-07,0.49726,0.2622,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
8.2,3.2833332852533204e-07,0.49725,0.2622,0.07483,-0.06063,-0.12786,-0.05016,0.99714,-0.03184,-0.06308,-0.02695
8.267,0.0,0.49724,0.26222,0.07483,-0.06061,-0.12786,-0.05016,0.99714,-0.03183,-0.06308,-0.02695
8.333,0.0,0.49723,0.2622,0.07481,-0.06063,-0.12792,-0.05012,0.99714,-0.03184,-0.06311,-0.02693
8.4,0.0,0.49695,0.26211,0.07463,-0.06058,-0.12845,-0.04984,0.99712,-0.03181,-0.06338,-0.0268
8.467,-6.566666570506641e-07,0.49686,0.26207,0.07456,-0.06058,-0.12861,-0.04974,0.99712,-0.03181,-0.06346,-0.02675
8.533,-6.566666570506641e-07,0.49683,0.26204,0.07453,-0.06058,-0.12869,-0.0497,0.99712,-0.03181,-0.0635,-0.02673
8.6,-6.566666570506641e-07,0.49683,0.26219,0.07463,-0.06035,-0.12853,-0.04988,0.99712,-0.0317,-0.06342,-0.02681
8.667,-6.566666570506641e-07,0.49784,0.26254,0.07603,-0.06028,-0.12582,-0.05108,0.99719,-0.03167,-0.06205,-0.02737
8.733,-6.566666570506641e-07,0.49966,0.26309,0.08002,-0.06003,-0.11899,-0.05364,0.99737,-0.03154,-0.05861,-0.02854
8.8,-6.566666570506641e-07,0.50281,0.26393,0.08743,-0.05969,-0.10661,-0.0581,0.99767,-0.03133,-0.05237,-0.03058
8.867,-6.566666570506641e-07,0.50664,0.26454,0.09718,-0.05986,-0.09127,-0.06328,0.99797,-0.03132,-0.04463,-0.03295
8.933,-6.566666570506641e-07,0.51057,0.26441,0.10852,-0.06088,-0.07471,-0.06826,0.99822,-0.03167,-0.03627,-0.03522
9.0,-6.566666570506641e-07,0.51462,0.26213,0.1209,-0.06475,-0.05951,-0.07102,0.99837,-0.03339,-0.02857,-0.03643
9.067,-6.566666570506641e-07,0.51801,0.25669,0.13384,-0.07208,-0.05097,-0.06834,0.99841,-0.03687,-0.02422,-0.03505
9.133,-6.566666570506641e-07,0.52019,0.24777,0.14682,-0.08171,-0.05153,-0.05966,0.99836,-0.04158,-0.02451,-0.03084
9.2,-3.2833332852533204e-07,0.52139,0.23566,0.15979,-0.09248,-0.05856,-0.04713,0.99819,-0.04688,-0.02815,-0.02488
9.267,-3.2833332852533204e-07,0.52286,0.22101,0.17258,-0.10051,-0.06578,-0.03532,0.99801,-0.05078,-0.03195,-0.01928
